image,v,w
segmentation/segmentation_0003.png,1.0,0.13495782563039013
segmentation/segmentation_0004.png,1.0,0.13495782563039013
segmentation/segmentation_0005.png,1.0,0.12459990278744543
segmentation/segmentation_0006.png,1.0,0.11739826666419398
segmentation/segmentation_0007.png,1.0,0.11243630887124224
segmentation/segmentation_0008.png,1.0,0.10636605327768221
segmentation/segmentation_0009.png,1.0,0.10177041929225747
segmentation/segmentation_0009.png,1.0,0.09579178501856903
segmentation/segmentation_0011.png,1.0,0.09072098273058768
segmentation/segmentation_0012.png,1.0,0.09137170660390481
segmentation/segmentation_0013.png,1.0,0.09187758005068518
segmentation/segmentation_0014.png,1.0,0.09230268052383336
segmentation/segmentation_0015.png,1.0,0.0926552374273027
segmentation/segmentation_0016.png,1.0,0.09296019557561869
segmentation/segmentation_0017.png,1.0,0.09323504909766193
segmentation/segmentation_0018.png,1.0,0.09348347068533036
segmentation/segmentation_0019.png,1.0,0.09372946636451594
segmentation/segmentation_0020.png,1.0,0.09395081971964557
segmentation/segmentation_0021.png,1.0,0.0941739416688375
segmentation/segmentation_0022.png,1.0,0.09706367896070417
segmentation/segmentation_0023.png,1.0,0.09692568369954065
segmentation/segmentation_0024.png,1.0,0.09688780013337199
segmentation/segmentation_0025.png,1.0,0.09691913770328091
segmentation/segmentation_0026.png,1.0,0.0970077825717438
segmentation/segmentation_0027.png,1.0,0.09712451431995792
segmentation/segmentation_0028.png,1.0,0.09727145283631794
segmentation/segmentation_0029.png,1.0,0.0974341319315495
segmentation/segmentation_0030.png,1.0,0.09497480358130046
segmentation/segmentation_0031.png,1.0,0.09549247801355934
segmentation/segmentation_0032.png,1.0,0.09327182079486321
segmentation/segmentation_0033.png,1.0,0.09655485877714559
segmentation/segmentation_0034.png,1.0,0.09942185296013949
segmentation/segmentation_0035.png,1.0,0.09402090490700159
segmentation/segmentation_0036.png,1.0,0.0893997840744894
segmentation/segmentation_0037.png,1.0,0.08798545801544823
segmentation/segmentation_0038.png,1.0,0.08657898435603781
segmentation/segmentation_0039.png,1.0,0.08780948911317032
segmentation/segmentation_0040.png,1.0,0.08100530670919018
segmentation/segmentation_0041.png,1.0,0.08265678698327739
segmentation/segmentation_0042.png,1.0,0.08387365138883013
segmentation/segmentation_0043.png,1.0,0.07961170724017977
segmentation/segmentation_0044.png,1.0,0.08093148347902786
segmentation/segmentation_0045.png,1.0,0.06865556992117613
segmentation/segmentation_0046.png,1.0,0.06047440699535984
segmentation/segmentation_0047.png,1.0,0.05578952159962303
segmentation/segmentation_0048.png,1.0,0.0432008790804822
segmentation/segmentation_0049.png,1.0,0.036986546645071616
segmentation/segmentation_0050.png,1.0,0.028208365105570433
segmentation/segmentation_0051.png,1.0,0.02253686830085715
segmentation/segmentation_0052.png,1.0,0.021967794888913407
segmentation/segmentation_0053.png,1.0,0.025914740009695132
segmentation/segmentation_0054.png,1.0,0.02609116217853033
segmentation/segmentation_0055.png,1.0,0.023060500186175843
segmentation/segmentation_0056.png,1.0,0.020103120357227548
segmentation/segmentation_0057.png,1.0,0.022403200902643357
segmentation/segmentation_0058.png,1.0,0.016472406808742242
segmentation/segmentation_0059.png,1.0,0.010243733494413374
segmentation/segmentation_0060.png,1.0,0.010164607432515783
segmentation/segmentation_0061.png,1.0,0.017525325898228493
segmentation/segmentation_0062.png,1.0,0.015713037772301403
segmentation/segmentation_0063.png,1.0,0.021906409707247353
segmentation/segmentation_0064.png,0.8796619772911072,0.029710485375481984
segmentation/segmentation_0065.png,0.8528839349746704,0.03398142864510179
segmentation/segmentation_0066.png,0.7350122332572937,0.027356296759196663
segmentation/segmentation_0067.png,0.6238897442817688,0.032329667867785315
segmentation/segmentation_0068.png,0.5311082601547241,0.03416013950220752
segmentation/segmentation_0069.png,0.4495961666107178,0.03589274270624762
segmentation/segmentation_0070.png,0.37787339091300964,0.04015388763588533
segmentation/segmentation_0071.png,0.3005785048007965,0.052253001114259304
segmentation/segmentation_0072.png,0.34665447473526,0.06018532056595666
segmentation/segmentation_0073.png,0.28879231214523315,0.06486523082743632
segmentation/segmentation_0074.png,0.30716389417648315,0.06957226299932785
segmentation/segmentation_0075.png,0.290935218334198,0.06635251562380623
segmentation/segmentation_0076.png,0.37076759338378906,0.05101630457100334
segmentation/segmentation_0077.png,0.3776252269744873,0.038163115936642525
segmentation/segmentation_0078.png,0.471002995967865,0.013467017512766207
segmentation/segmentation_0079.png,0.4758615493774414,-0.005518850908937181
segmentation/segmentation_0080.png,0.5261939764022827,-0.009797829187314892
segmentation/segmentation_0081.png,0.48004716634750366,-0.02240853660049147
segmentation/segmentation_0082.png,0.5561000108718872,-0.01085923402231429
segmentation/segmentation_0083.png,0.5966694355010986,-0.0018152871606993025
segmentation/segmentation_0084.png,0.5553162693977356,0.02130094594504604
segmentation/segmentation_0085.png,0.5619082450866699,0.02508900980304239
segmentation/segmentation_0086.png,0.5079820156097412,0.039678285171522984
segmentation/segmentation_0087.png,0.5473556518554688,0.041701899411110285
segmentation/segmentation_0088.png,0.5428711175918579,0.03350902525241139
segmentation/segmentation_0089.png,0.6077674627304077,0.02168772533571584
segmentation/segmentation_0090.png,0.6056687235832214,0.014203479801369798
segmentation/segmentation_0091.png,0.6161355972290039,-0.0029660422749430617
segmentation/segmentation_0092.png,0.5796693563461304,0.01870356012567241
segmentation/segmentation_0093.png,0.5191255807876587,0.03961003008755743
segmentation/segmentation_0094.png,0.4676463007926941,0.06025450557716384
segmentation/segmentation_0095.png,0.45328769087791443,0.06875751510725583
segmentation/segmentation_0096.png,0.484338641166687,0.06108057636016617
segmentation/segmentation_0097.png,0.5749390125274658,0.037072941653859916
segmentation/segmentation_0098.png,0.6065589785575867,0.024224607814421754
segmentation/segmentation_0099.png,0.6236303448677063,0.02098905672771709
segmentation/segmentation_0100.png,0.6223567724227905,0.023097324547172428
segmentation/segmentation_0101.png,0.6179117560386658,0.02458280234724342
segmentation/segmentation_0102.png,0.6780092716217041,0.009742087195616901
segmentation/segmentation_0103.png,0.6448383331298828,-0.008410871357671972
segmentation/segmentation_0104.png,0.5777048468589783,-0.03258024573861441
segmentation/segmentation_0105.png,0.5494933128356934,-0.038785933054738375
segmentation/segmentation_0106.png,0.6102327108383179,-0.014214600392824267
